0|0|METHYLPHENIDATE HYDROCHLORIDE |SUCROSE |STARCH, CORN |HYPROMELLOSE, UNSPECIFIED |POLYETHYLENE GLYCOL, UNSPECIFIED |AMMONIO METHACRYLATE COPOLYMER TYPE B |METHACRYLIC ACID - ETHYL ACRYLATE COPOLYMER (1:1) TYPE A |TRIETHYL CITRATE |TALC |WATER |SILICON DIOXIDE |FD&C BLUE NO. 1 |TITANIUM DIOXIDE |GELATIN, UNSPECIFIED |D&C RED NO. 28 |D&C YELLOW NO. 10 |FD&C RED NO. 40 |D&C RED NO. 33 |FD&C RED NO. 3 |FD&C GREEN NO. 3 |FERROSOFERRIC OXIDE |||||||||
21|21|BUTALBITAL |ACETAMINOPHEN |CAFFEINE |MICROCRYSTALLINE CELLULOSE |CROSCARMELLOSE SODIUM |CROSPOVIDONE (15 MPA.S AT 5%) |POVIDONE, UNSPECIFIED |SILICON DIOXIDE |STARCH, CORN |STEARIC ACID ||||||||||||||||||||
22|22|BUTALBITAL |ACETAMINOPHEN |CAFFEINE |SILICON DIOXIDE |CROSCARMELLOSE SODIUM |FD&C BLUE NO. 1 |MAGNESIUM STEARATE |MICROCRYSTALLINE CELLULOSE |SODIUM STARCH GLYCOLATE TYPE A POTATO |STEARIC ACID ||||||||||||||||||||
23|23|BUTALBITAL |ACETAMINOPHEN |CAFFEINE |ANHYDROUS CITRIC ACID |ETHYL MALTOL |CORN SYRUP |GLYCERIN |METHYLPARABEN |PROPYLENE GLYCOL |PROPYLPARABEN |WATER |SACCHARIN SODIUM |SORBITOL |SUCROSE |FD&C YELLOW NO. 6 |||||||||||||||
24|24|BUTALBITAL |ACETAMINOPHEN |CAFFEINE |ALCOHOL |ANHYDROUS CITRIC ACID |CORN SYRUP |ETHYL MALTOL |FD&C YELLOW NO. 6 |GLYCERIN |METHYLPARABEN |PROPYLENE GLYCOL |PROPYLPARABEN |SACCHARIN SODIUM |SORBITOL |SUCROSE |WATER ||||||||||||||
25|25|BUTALBITAL |ACETAMINOPHEN |CAFFEINE |CELLULOSE, MICROCRYSTALLINE |CROSCARMELLOSE SODIUM |CROSPOVIDONE |POVIDONE |SILICON DIOXIDE |STARCH, CORN |STEARIC ACID ||||||||||||||||||||
26|26|BUTALBITAL |ACETAMINOPHEN |CAFFEINE |CELLULOSE, MICROCRYSTALLINE |CROSCARMELLOSE SODIUM |CROSPOVIDONE |POVIDONE, UNSPECIFIED |SILICON DIOXIDE |STARCH, CORN |STEARIC ACID ||||||||||||||||||||
27|27|BUTALBITAL |ACETAMINOPHEN |CAFFEINE |SILICON DIOXIDE |CROSCARMELLOSE SODIUM |CROSPOVIDONE, UNSPECIFIED |MAGNESIUM STEARATE |MICROCRYSTALLINE CELLULOSE |POVIDONE, UNSPECIFIED |STARCH, CORN |STEARIC ACID |||||||||||||||||||
28|28|BUTALBITAL |ACETAMINOPHEN |CAFFEINE |SILICON DIOXIDE |CROSCARMELLOSE SODIUM |MAGNESIUM STEARATE |MICROCRYSTALLINE CELLULOSE |STEARIC ACID ||||||||||||||||||||||
29|29|BUTALBITAL |ACETAMINOPHEN |CAFFEINE |CELLULOSE, MICROCRYSTALLINE |CROSCARMELLOSE SODIUM |CROSPOVIDONE |POVIDONES |SILICON DIOXIDE |STARCH, CORN |STEARIC ACID ||||||||||||||||||||
30|30|BUTALBITAL |ACETAMINOPHEN |CAFFEINE |MICROCRYSTALLINE CELLULOSE |CROSCARMELLOSE SODIUM |CROSPOVIDONE (15 MPA.S AT 5%) |POVIDONE, UNSPECIFIED |SILICON DIOXIDE |STARCH, CORN |STEARIC ACID ||||||||||||||||||||
31|31|BUTALBITAL |ACETAMINOPHEN |CAFFEINE |SILICON DIOXIDE |CROSCARMELLOSE SODIUM |FD&C BLUE NO. 1 |MAGNESIUM STEARATE |MICROCRYSTALLINE CELLULOSE |SODIUM STARCH GLYCOLATE TYPE A POTATO |STEARIC ACID ||||||||||||||||||||
32|32|BUTALBITAL |ACETAMINOPHEN |CAFFEINE |CELLULOSE, MICROCRYSTALLINE |CROSCARMELLOSE SODIUM |CROSPOVIDONE |POVIDONES |SILICON DIOXIDE |STARCH, CORN |STEARIC ACID ||||||||||||||||||||
33|33|BUTALBITAL |ACETAMINOPHEN |CAFFEINE |SILICON DIOXIDE |CROSCARMELLOSE SODIUM |FD&C BLUE NO. 1 |MAGNESIUM STEARATE |CELLULOSE, MICROCRYSTALLINE |SODIUM STARCH GLYCOLATE TYPE A POTATO |STEARIC ACID ||||||||||||||||||||
34|34|BUTALBITAL |ACETAMINOPHEN |CAFFEINE |SILICON DIOXIDE |CROSCARMELLOSE SODIUM |FD&C BLUE NO. 1 |MAGNESIUM STEARATE |CELLULOSE, MICROCRYSTALLINE |SODIUM STARCH GLYCOLATE TYPE A POTATO |STEARIC ACID ||||||||||||||||||||
35|35|BUTALBITAL |ACETAMINOPHEN |CAFFEINE |MICROCRYSTALLINE CELLULOSE |CROSCARMELLOSE SODIUM |CROSPOVIDONE (15 MPA.S AT 5%) |POVIDONE, UNSPECIFIED |SILICON DIOXIDE |STARCH, CORN |STEARIC ACID ||||||||||||||||||||
36|36|BUTALBITAL |ACETAMINOPHEN |CAFFEINE |SILICON DIOXIDE |CROSCARMELLOSE SODIUM |FD&C BLUE NO. 1 |MAGNESIUM STEARATE |CELLULOSE, MICROCRYSTALLINE |SODIUM STARCH GLYCOLATE TYPE A POTATO |STEARIC ACID ||||||||||||||||||||
37|37|BUTALBITAL |ACETAMINOPHEN |CAFFEINE |SILICON DIOXIDE |CROSCARMELLOSE SODIUM |FD&C BLUE NO. 1 |MAGNESIUM STEARATE |MICROCRYSTALLINE CELLULOSE |SODIUM STARCH GLYCOLATE TYPE A POTATO |STEARIC ACID ||||||||||||||||||||
38|38|ACETAMINOPHEN |CAFFEINE |BUTALBITAL |FD&C BLUE NO. 1 |FD&C RED NO. 40 |GELATIN |CELLULOSE, MICROCRYSTALLINE |STEARIC ACID |TALC |TITANIUM DIOXIDE ||||||||||||||||||||
39|39|ACETAMINOPHEN |CAFFEINE |BUTALBITAL |FD&C BLUE NO. 1 |FD&C RED NO. 40 |GELATIN |CELLULOSE, MICROCRYSTALLINE |STEARIC ACID |TALC |TITANIUM DIOXIDE ||||||||||||||||||||
40|40|BUTALBITAL |ACETAMINOPHEN |CAFFEINE |CELLULOSE, MICROCRYSTALLINE |CROSCARMELLOSE SODIUM |CROSPOVIDONE |POVIDONES |SILICON DIOXIDE |STARCH, CORN |STEARIC ACID ||||||||||||||||||||
41|41|BUTALBITAL |ACETAMINOPHEN |CAFFEINE |ALCOHOL |ANHYDROUS CITRIC ACID |DEXTROSE |ETHYL MALTOL |FD&C YELLOW NO. 6 |GLYCERIN |METHYLPARABEN |PROPYLENE GLYCOL |PROPYLPARABEN |SACCHARIN SODIUM |SORBITOL |SUCROSE |WATER ||||||||||||||
42|42|BUTALBITAL |ACETAMINOPHEN |CAFFEINE |SILICON DIOXIDE, COLLOIDAL |CROSCARMELLOSE SODIUM |MAGNESIUM STEARATE |CELLULOSE, MICROCRYSTALLINE |STEARIC ACID ||||||||||||||||||||||
43|43|BUTALBITAL |ACETAMINOPHEN |CAFFEINE |CELLULOSE, MICROCRYSTALLINE |CROSCARMELLOSE SODIUM |CROSPOVIDONE |POVIDONES |SILICON DIOXIDE |STARCH, CORN |STEARIC ACID ||||||||||||||||||||
44|44|BUTALBITAL |ACETAMINOPHEN |CAFFEINE |SODIUM STARCH GLYCOLATE TYPE A POTATO |COLLOIDAL SILICON DIOXIDE |STEARIC ACID |CROSCARMELLOSE SODIUM |TITANIUM DIOXIDE |D&C RED NO. 27 |D&C RED NO. 30 |FD&C BLUE NO. 1 |CROSPOVIDONE |POVIDONE |CELLULOSE, MICROCRYSTALLINE |POLYETHYLENE GLYCOLS |HYPROMELLOSES |CARNAUBA WAX |||||||||||||
45|45|BUTALBITAL |ACETAMINOPHEN |CAFFEINE |COLLOIDAL SILICON DIOXIDE |STARCH, CORN |CROSCARMELLOSE SODIUM |MAGNESIUM STEARATE |CELLULOSE, MICROCRYSTALLINE |POVIDONE |STEARIC ACID ||||||||||||||||||||
46|46|BUTALBITAL |ACETAMINOPHEN |CAFFEINE |FD&C BLUE NO. 1 |MAGNESIUM STEARATE |CELLULOSE, MICROCRYSTALLINE |SILICON DIOXIDE |SODIUM STARCH GLYCOLATE TYPE A POTATO ||||||||||||||||||||||
47|47|BUTALBITAL |ACETAMINOPHEN |CAFFEINE |SILICON DIOXIDE |CROSCARMELLOSE SODIUM |MAGNESIUM STEARATE |CELLULOSE, MICROCRYSTALLINE |STEARIC ACID ||||||||||||||||||||||
48|48|BUTALBITAL |ACETAMINOPHEN |CAFFEINE |SILICON DIOXIDE |CROSCARMELLOSE SODIUM |MAGNESIUM STEARATE |CELLULOSE, MICROCRYSTALLINE |STEARIC ACID |CROSPOVIDONE |POVIDONE |STARCH, CORN |||||||||||||||||||
49|49|BUTALBITAL |ACETAMINOPHEN |CAFFEINE |CELLULOSE, MICROCRYSTALLINE |CROSPOVIDONE |CROSCARMELLOSE SODIUM |STARCH, CORN |STEARIC ACID |SILICON DIOXIDE |MAGNESIUM STEARATE |FD&C BLUE NO. 1 |||||||||||||||||||
50|50|Butalbital |Acetaminophen |Caffeine |CROSPOVIDONE (15 MPA.S AT 5%) |FD&C BLUE NO. 1 |Magnesium Stearate |MICROCRYSTALLINE CELLULOSE |Starch, Corn |Croscarmellose Sodium |POVIDONE, UNSPECIFIED |Stearic Acid |||||||||||||||||||
51|51|BUTALBITAL |ACETAMINOPHEN |CAFFEINE |MICROCRYSTALLINE CELLULOSE |CROSPOVIDONE, UNSPECIFIED |CROSCARMELLOSE SODIUM |STARCH, CORN |STEARIC ACID |SILICON DIOXIDE |MAGNESIUM STEARATE |FD&C BLUE NO. 1 |||||||||||||||||||
52|52|BUTALBITAL |ACETAMINOPHEN |CAFFEINE |||||||||||||||||||||||||||
53|53|BUTALBITAL |ACETAMINOPHEN |CAFFEINE |MICROCRYSTALLINE CELLULOSE |CROSPOVIDONE, UNSPECIFIED |CROSCARMELLOSE SODIUM |STARCH, CORN |STEARIC ACID |SILICON DIOXIDE |MAGNESIUM STEARATE |FD&C BLUE NO. 1 |||||||||||||||||||
54|54|BUTALBITAL |ACETAMINOPHEN |CAFFEINE |MICROCRYSTALLINE CELLULOSE |CROSPOVIDONE, UNSPECIFIED |CROSCARMELLOSE SODIUM |STARCH, CORN |STEARIC ACID |SILICON DIOXIDE |MAGNESIUM STEARATE |FD&C BLUE NO. 1 |||||||||||||||||||
55|55|BUTALBITAL |ACETAMINOPHEN |CAFFEINE |CROSPOVIDONE (15 MPA.S AT 5%) |MAGNESIUM STEARATE |MICROCRYSTALLINE CELLULOSE |POVIDONE, UNSPECIFIED |STARCH, CORN |STEARIC ACID |||||||||||||||||||||
56|56|BUTALBITAL |ACETAMINOPHEN |CAFFEINE |MICROCRYSTALLINE CELLULOSE |CROSPOVIDONE, UNSPECIFIED |CROSCARMELLOSE SODIUM |STARCH, CORN |STEARIC ACID |SILICON DIOXIDE |MAGNESIUM STEARATE |FD&C BLUE NO. 1 |||||||||||||||||||
57|57|BUTALBITAL |ACETAMINOPHEN |CAFFEINE |CROSPOVIDONE (15 MPA.S AT 5%) |MAGNESIUM STEARATE |MICROCRYSTALLINE CELLULOSE |POVIDONE, UNSPECIFIED |STARCH, CORN |STEARIC ACID |||||||||||||||||||||
58|58|BUTALBITAL |ACETAMINOPHEN |CAFFEINE |SILICON DIOXIDE |CROSCARMELLOSE SODIUM |MAGNESIUM STEARATE |MICROCRYSTALLINE CELLULOSE |STEARIC ACID |CROSPOVIDONE, UNSPECIFIED |POVIDONE, UNSPECIFIED |STARCH, CORN |||||||||||||||||||
59|59|BUTALBITAL |ACETAMINOPHEN |CAFFEINE |CROSPOVIDONE (15 MPA.S AT 5%) |MAGNESIUM STEARATE |MICROCRYSTALLINE CELLULOSE |POVIDONE, UNSPECIFIED |STARCH, CORN |STEARIC ACID |||||||||||||||||||||
60|60|BUTALBITAL |ACETAMINOPHEN |CAFFEINE |SILICON DIOXIDE |CROSCARMELLOSE SODIUM |MAGNESIUM STEARATE |CELLULOSE, MICROCRYSTALLINE |STEARIC ACID |CROSPOVIDONE |POVIDONE |STARCH, CORN |||||||||||||||||||
61|61|BUTALBITAL |ACETAMINOPHEN |CAFFEINE |CELLULOSE, MICROCRYSTALLINE |CROSPOVIDONE |CROSCARMELLOSE SODIUM |STARCH, CORN |STEARIC ACID |SILICON DIOXIDE |MAGNESIUM STEARATE |FD&C BLUE NO. 1 |||||||||||||||||||
62|62|BUTALBITAL |ACETAMINOPHEN |CAFFEINE |||||||||||||||||||||||||||
63|63|BUTALBITAL |ACETAMINOPHEN |CAFFEINE |||||||||||||||||||||||||||
64|64|BUTALBITAL |ACETAMINOPHEN |CAFFEINE |CELLULOSE, MICROCRYSTALLINE |CROSPOVIDONE |CROSCARMELLOSE SODIUM |STARCH, CORN |STEARIC ACID |SILICON DIOXIDE |MAGNESIUM STEARATE |FD&C BLUE NO. 1 |||||||||||||||||||
65|65|BUTALBITAL |ACETAMINOPHEN |CAFFEINE |CELLULOSE, MICROCRYSTALLINE |CROSPOVIDONE |CROSCARMELLOSE SODIUM |STARCH, CORN |STEARIC ACID |SILICON DIOXIDE |MAGNESIUM STEARATE |FD&C BLUE NO. 1 |||||||||||||||||||
66|66|BUTALBITAL |ACETAMINOPHEN |CAFFEINE |CELLULOSE, MICROCRYSTALLINE |CROSPOVIDONE |CROSCARMELLOSE SODIUM |STARCH, CORN |STEARIC ACID |SILICON DIOXIDE |MAGNESIUM STEARATE |FD&C BLUE NO. 1 |||||||||||||||||||
67|67|BUTALBITAL |ACETAMINOPHEN |CAFFEINE |CROSPOVIDONE |MAGNESIUM STEARATE |CELLULOSE, MICROCRYSTALLINE |POVIDONE |STARCH, CORN |STEARIC ACID |||||||||||||||||||||
68|68|BUTALBITAL |ACETAMINOPHEN |CAFFEINE |SILICON DIOXIDE |CROSCARMELLOSE SODIUM |MAGNESIUM STEARATE |CELLULOSE, MICROCRYSTALLINE |STEARIC ACID |CROSPOVIDONE |POVIDONES |STARCH, CORN |||||||||||||||||||
69|69|BUTALBITAL |ACETAMINOPHEN |CAFFEINE |SILICON DIOXIDE |MAGNESIUM STEARATE |SODIUM LAURYL SULFATE |D&C RED NO. 33 |D&C YELLOW NO. 10 |FD&C RED NO. 40 |GELATIN |TITANIUM DIOXIDE |SODIUM STARCH GLYCOLATE TYPE A POTATO ||||||||||||||||||
70|70|BUTALBITAL |ACETAMINOPHEN |CAFFEINE |SILICON DIOXIDE |CROSCARMELLOSE SODIUM |MAGNESIUM STEARATE |CELLULOSE, MICROCRYSTALLINE |STEARIC ACID |CROSPOVIDONE |POVIDONE |STARCH, CORN |||||||||||||||||||
